Species,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Mppersp,Habitat,Trophic.Niche,Migration
Larus michahellis,67.6,8.6,422.8,1111.9,1.83,Coastal,Aquatic predator,2
Larus ridibundus,43.4,4,291.2,284,1,Wetland,Aquatic predator,2
Bubulcus ibis,63.3,8.6,244.4,366,3,Human modified,Omnivore,2
Tyto alba,32,8.5,280.2,403.3,,Human modified,Vertivore,1
Tyto alba,32,8.5,280.2,403.3,,Human modified,Vertivore,1
Tyto alba,32,8.5,280.2,403.3,,Human modified,Vertivore,1
Larus michahellis,67.6,8.6,422.8,1111.9,0.2667,Coastal,Aquatic predator,2
Larus fuscus,62.3,7.9,412.2,762.4,0.4677,Coastal,Aquatic predator,2
Ciconia ciconia,189.1,23.5,565.6,3445.8,1.2222,Grassland,Omnivore,3
Hydrobates pelagicus,13.7,2.3,119,25.2,1.86,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,5.9,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,18.7,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,11.6,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,1.9,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,22,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,,Marine,Aquatic predator,3
Fulmarus glacialis,41.3,11.9,321.1,611.9,,Marine,Aquatic predator,3
Spheniscus magellanicus,60.2,10.2,109.6,4105.1,,Marine,Aquatic predator,2
Spheniscus magellanicus,60.2,10.2,109.6,4105.1,,Marine,Aquatic predator,2
Spheniscus magellanicus,60.2,10.2,109.6,4105.1,,Marine,Aquatic predator,2
Alopochen aegyptiaca,51.6,20.8,356,1873,,Wetland,Omnivore,2
Anas undulata,53.3,18.7,240.6,1008,,Wetland,Herbivore aquatic,2
Anas erythrorhyncha,43.8,15.9,215,558.8,,Wetland,Herbivore aquatic,2
Plectropterus gambensis,78.6,30.5,522.6,3869,,Wetland,Omnivore,3
Dendrocygna viduata,48.1,15.7,214.3,690,,Wetland,Herbivore aquatic,2
Spatula smithii,63.6,18.9,229.2,591.5,,Wetland,Aquatic predator,2
Anas capensis,39.6,14.8,193.2,402,,Wetland,Aquatic predator,2
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna gravis,54.7,8.3,317.8,849,,Marine,Aquatic predator,3
Ardenna tenuirostris,37.2,6.5,262.2,559,8.23,Marine,Aquatic predator,3
Ardenna tenuirostris,37.2,6.5,262.2,559,7.11,Marine,Aquatic predator,3
Larus dominicanus,64.7,8.6,402,952.4,,Marine,Omnivore,1
Spheniscus magellanicus,60.2,10.2,109.6,4105.1,,Marine,Aquatic predator,2
Spheniscus humboldti,63.7,9.1,105.2,4366.4,,Marine,Aquatic predator,2
Strix varia,38.8,11.2,341.2,711.5,,Forest,Vertivore,1
Strix varia,38.8,11.2,341.2,711.5,,Forest,Vertivore,1
Strix varia,38.8,11.2,341.2,711.5,,Forest,Vertivore,1
Haliaeetus?eucocephalus,76,24,601.8,4700.6,,Wetland,Omnivore,3
Haliaeetus?eucocephalus,76,24,601.8,4700.6,,Wetland,Omnivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,11.3,Wetland,Invertivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,5.1,Wetland,Invertivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,5.9,Wetland,Invertivore,3
Tachycineta bicolor,10.8,3.8,115.9,21.2,8.7,Wetland,Invertivore,3
Larus delawarensis,48.1,6.2,366,516.3,3.7,Coastal,Omnivore,2
Columba livia,23.2,4.3,219.6,354.2,,Human modified,Granivore,1
Milvus migrans,40,13,457.4,734.1,0,Woodland,Omnivore,3
Hirundo rustica,12.4,4.5,115.8,17.9,,Human modified,Invertivore,3
Ardenna pacifica,40.9,7.9,296.8,388,1.1,Marine,Aquatic predator,3
Ardenna pacifica,40.9,7.9,296.8,388,1,Marine,Aquatic predator,3
Ardenna pacifica,40.9,7.9,296.8,388,1.1,Marine,Aquatic predator,3
Buteo buteo,35.9,12.6,382.9,759.1,,Grassland,Vertivore,2
Milvus migrans,40,13,457.4,734.1,,Woodland,Omnivore,3
