study_id,Title,Reference,Species,Migratory_status,IUCN,Species_type,Feeding_habit,Max_Body_mass_g,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Trophic.Level,Trophic.Niche,Habitat,Habitat.Density,Migration,Primary.Lifestyle,Longitude,Latitude,Location,Province,Country,Continent,Years_sampling,Environment,Sites_code,Tissue_abr,Tissue,Extraction_method,Identification,Ref_method,Number_of_species,TNMP,Mppersp,mp
12,Thrushes (Aves: Passeriformes) as indicators of microplastic pollution in terrestrial environments,Deoniziak et al_2022,Turdus merula,Full migrant,LC,Landbird,Omnivore,125.00 ,28.50 ,5.30 ,128.40 ,102.70 ,Omnivore,Omnivore,Forest,2,1,Generalist,23.04 ,53.32 ,Podlaskie Voivodeship,,Poland,Europe,2020,Terrestrial,,,GIT,KOH,Stereomicroscope,Brander et al. 2020,16,351,40.11,40.11
12,Thrushes (Aves: Passeriformes) as indicators of microplastic pollution in terrestrial environments,Deoniziak et al_2022,Turdus philomelos,Full migrant,LC,Landbird,Omnivore,,23.10 ,5.00 ,116.00 ,67.70 ,Omnivore,Invertivore,Forest,1,3,Generalist,23.04 ,53.32 ,Podlaskie Voivodeship,,Poland,Europe,2020,Terrestrial,,,GIT,KOH,Stereomicroscope,Brander et al. 2020,18,722,21.94,21.94
13,Food web transfer of plastics to an apex riverine predator,DSouza et al_2020,Cinclus cinclus,Full migrant,LC,Landbird,Insectivore,64.00 ,22.10 ,3.40 ,88.90 ,61.50 ,Carnivore,Aquatic predator,Reverine,3,1,Generalist,-3.32 ,51.57 ,South Wales,,United Kingdom,Europe,2017,,,Fecal,FP,NaOH,Stereomicroscope & FTIR,Ormerod and Tyler 1991,29,,1.3,1.3
13,Food web transfer of plastics to an apex riverine predator,DSouza et al_2020,Cinclus cinclus,Full migrant,LC,Landbird,Omnivore,64.00 ,22.10 ,3.40 ,88.90 ,61.50 ,Carnivore,Aquatic predator,Reverine,3,1,Generalist,-3.32 ,51.57 ,South Wales,,United Kingdom,Europe,2017,,,RP,RP,NaOH,Stereomicroscope & FTIR,Ormerod and Tyler 1991,16,,1.7,1.7
13,Food web transfer of plastics to an apex riverine predator,DSouza et al_2020,Cinclus cinclus,Full migrant,LC,Landbird,Omnivore,64.00 ,22.10 ,3.40 ,88.90 ,61.50 ,Carnivore,Aquatic predator,Reverine,3,1,Generalist,-3.32 ,51.57 ,South Wales,,United Kingdom,Europe,2018,,,Fecal,FP,NaOH,Stereomicroscope & FTIR,Ormerod and Tyler 1991,49,,0.5,0.5
13,Food web transfer of plastics to an apex riverine predator,DSouza et al_2020,Cinclus cinclus,Full migrant,LC,Landbird,Omnivore,64.00 ,22.10 ,3.40 ,88.90 ,61.50 ,Carnivore,Aquatic predator,Reverine,3,1,Generalist,-3.32 ,51.57 ,South Wales,,United Kingdom,Europe,2018,,,RP,RP,NaOH,Stereomicroscope & FTIR,Ormerod and Tyler 1991,58,,0.9,0.9
13,Food web transfer of plastics to an apex riverine predator,DSouza et al_2020,Cinclus cinclus,Full migrant,LC,Landbird,Omnivore,64.00 ,22.10 ,3.40 ,88.90 ,61.50 ,Carnivore,Aquatic predator,Reverine,3,1,Generalist,-3.32 ,51.57 ,South Wales,,United Kingdom,Europe,2018,,,Fecal,FP,NaOH,Stereomicroscope & FTIR,Ormerod and Tyler 1991,14,,0.6,0.6
14,Plastic in Cassin's Auklets (Ptychoramphus aleuticus) from the 2014 stranding on the Northeast Paci?c Coast,Floren and Shugart_2017,Ptychoramphus aleuticus,Not a Migrant,NT,Seabird,Piscivore,,24.00 ,6.60 ,121.00 ,184.00 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,-124.01 ,46.95 ,Northern Pacific Coast,,United States of America,North America,2014,,Juvenile,,GIT,Washed & Sieve,Stereomicroscope,,14,,5.43,5.43
14,Plastic in Cassin's Auklets (Ptychoramphus aleuticus) from the 2014 stranding on the Northeast Paci?c Coast,Floren and Shugart_2017,Ptychoramphus aleuticus,Not a Migrant,NT,Seabird,Piscivore,,24.00 ,6.60 ,121.00 ,184.00 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,-124.01 ,46.95 ,Northern Pacific Coast,,United States of America,North America,2014,,Sub-adult,,GIT,Washed & Sieve,Stereomicroscope,,21,,6.57,6.57
14,Plastic in Cassin's Auklets (Ptychoramphus aleuticus) from the 2014 stranding on the Northeast Paci?c Coast,Floren and Shugart_2017,Ptychoramphus aleuticus,Not a Migrant,NT,Seabird,Piscivore,,24.00 ,6.60 ,121.00 ,184.00 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,-124.01 ,46.95 ,Northern Pacific Coast,,United States of America,North America,2014,,Adult,,GIT,Washed & Sieve,Stereomicroscope,,34,,5.38,5.38
15,Microplastics and other anthropogenic particles in Antarctica: Using penguins as biological samplers,Fragao et al_2021,Pygoscelis adeliae,Full migrant,LC,Seabird,Piscivore,4.99 ,59.70 ,12.90 ,94.50 ,4847.70 ,Carnivore,Aquatic predator,Marine,3,2,Aquatic,-57.73 ,-63.39 ,Antartica Peninsula,,International territory,Antarctica,2016,,,Scat,Dropping,KOH,Stereomicroscope & FTIR,Bessa et al. 2018,20,3,0.15,0.15
